"Column Name","Label"
"DP4_C73","Number!!Occupied Housing Units!!VEHICLES AVAILABLE!!2"
"DP4_C74","Percent!!Occupied Housing Units!!VEHICLES AVAILABLE!!2"
"DP4_C75","Number!!Occupied Housing Units!!VEHICLES AVAILABLE!!3 or more"
"DP4_C76","Percent!!Occupied Housing Units!!VEHICLES AVAILABLE!!3 or more"
"DP4_C77","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Utility gas"
"DP4_C78","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Utility gas"
"DP4_C79","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas"
"DP4_C80","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas"
"DP4_C81","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Electricity"
"DP4_C82","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Electricity"
"DP4_C83","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc."
"DP4_C84","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc."
"DP4_C85","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Coal or coke"
"DP4_C86","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Coal or coke"
"DP4_C87","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Wood"
"DP4_C88","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Wood"
"DP4_C89","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Solar energy"
"DP4_C90","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Solar energy"
"DP4_C91","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!Other fuel"
"DP4_C92","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!Other fuel"
"DP4_C93","Number!!Occupied Housing Units!!HOUSE HEATING FUEL!!No fuel used"
"DP4_C94","Percent!!Occupied Housing Units!!HOUSE HEATING FUEL!!No fuel used"
"DP4_C95","Number!!Occupied Housing Units!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities"
"DP4_C96","Percent!!Occupied Housing Units!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities"
"DP4_C97","Number!!Occupied Housing Units!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities"
"DP4_C98","Percent!!Occupied Housing Units!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities"
"DP4_C100","Percent!!Occupied Housing Units!!SELECTED CHARACTERISTICS!!No telephone service"
"DP4_C99","Number!!Occupied Housing Units!!SELECTED CHARACTERISTICS!!No telephone service"
"DP4_C101","Number!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP4_C102","Percent!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP4_C103","Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less"
"DP4_C104","Percent!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less"
