"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","DP1_C0","DP1_C1","DP1_C2","DP1_C3","DP1_C4","DP1_C5","DP1_C6","DP1_C7","DP1_C8","DP1_C9","DP1_C10","DP1_C11","DP1_C12","DP1_C13","DP1_C14","DP1_C15","DP1_C16","DP1_C17","DP1_C18","DP1_C19","DP1_C20","DP1_C21","DP1_C22","DP1_C23","DP1_C24","DP1_C25","DP1_C26","DP1_C27","DP1_C28","DP1_C29","DP1_C30","DP1_C31","DP1_C32","DP1_E1","DP1_C33","DP1_C34","DP1_C35","DP1_C36","DP1_C37","DP1_C38","DP1_C39","DP1_C40","DP1_C41","DP1_C42","DP1_C43","DP1_C44","DP1_C45","DP1_C46","DP1_C47","DP1_C48","DP1_C49","DP1_C50","DP1_C51","DP1_C52","DP1_C53","DP1_C54","DP1_C55","DP1_C56","DP1_C57","DP1_C58","DP1_C59","DP1_C60","DP1_C61","DP1_C62","DP1_C63","DP1_C64","DP1_C65","DP1_C66","DP1_C67","DP1_C68","DP1_C69","DP1_C70","DP1_C71","DP1_C72","DP1_C73","DP1_C74","DP1_C75","DP1_C76","DP1_C77","DP1_C78","DP1_C79","DP1_C80","DP1_C81","DP1_C82","DP1_C83","DP1_C84","DP1_C85","DP1_C86","DP1_C87","DP1_C88","DP1_C89","DP1_C90","DP1_C91","DP1_C92","DP1_C93","DP1_C94","DP1_C95","DP1_C96","DP1_C97","DP1_C98","DP1_C99","DP1_E2","DP1_C100","DP1_E3","DP1_C101","DP1_C102","DP1_C103","DP1_C104","DP1_C105","DP1_C106","DP1_C107","DP1_E4","DP1_C108","DP1_E5",
"1400000US17031281400","Census Tract 2814, Cook County, Illinois","001","Total population","392","100.0","209","53.3","183","46.7","39","9.9","35","8.9","29","7.4","27","6.9","24","6.1","55","14.0","73","18.6","47","12.0","20","5.1","8","2.0","20","5.1","13","3.3","2","0.5","33.3","(X)","276","70.4","145","37.0","131","33.4","255","65.1","38","9.7","35","8.9","18","4.6","17","4.3","392","100.0","346","88.3","134","34.2","11","2.8","122","31.1","78","19.9","56","14.3","35","8.9","23","5.9","7","1.8","46","11.7","0","0.0","46","11.7","134","100.0","74","55.2","35","26.1","11","8.2","4","3.0","51","38.1","27","20.1","60","44.8","49","36.6","9","6.7","46","34.3","31","23.1","2.58","(X)","3.55","(X)","134","100.0","21","15.7","113","84.3","3.10","(X)","2.49","(X)",
"1400000US17031281500","Census Tract 2815, Cook County, Illinois","001","Total population","347","100.0","195","56.2","152","43.8","18","5.2","35","10.1","31","8.9","29","8.4","15","4.3","45","13.0","61","17.6","53","15.3","32","9.2","13","3.7","13","3.7","1","0.3","1","0.3","35.1","(X)","248","71.5","141","40.6","107","30.8","233","67.1","23","6.6","15","4.3","8","2.3","7","2.0","347","100.0","347","100.0","166","47.8","19","5.5","120","34.6","90","25.9","15","4.3","9","2.6","27","7.8","14","4.0","0","0.0","0","0.0","0","0.0","166","100.0","61","36.7","40","24.1","19","11.4","9","5.4","35","21.1","26","15.7","105","63.3","94","56.6","9","5.4","43","25.9","14","8.4","2.09","(X)","3.52","(X)","166","100.0","11","6.6","155","93.4","3.64","(X)","1.98","(X)",
"1400000US17031282100","Census Tract 2821, Cook County, Illinois","001","Total population","219","100.0","104","47.5","115","52.5","5","2.3","4","1.8","2","0.9","3","1.4","9","4.1","83","37.9","54","24.7","39","17.8","10","4.6","3","1.4","5","2.3","2","0.9","0","0.0","35.7","(X)","207","94.5","102","46.6","105","47.9","205","93.6","9","4.1","7","3.2","3","1.4","4","1.8","219","100.0","219","100.0","136","62.1","51","23.3","15","6.8","11","5.0","7","3.2","1","0.5","10","4.6","7","3.2","0","0.0","0","0.0","0","0.0","136","100.0","60","44.1","6","4.4","51","37.5","5","3.7","6","4.4","1","0.7","76","55.9","67","49.3","2","1.5","7","5.1","6","4.4","1.61","(X)","2.22","(X)","136","100.0","111","81.6","25","18.4","1.58","(X)","1.76","(X)",
"1400000US17031282600","Census Tract 2826, Cook County, Illinois","001","Total population","209","100.0","105","50.2","104","49.8","14","6.7","30","14.4","18","8.6","11","5.3","24","11.5","31","14.8","25","12.0","29","13.9","1","0.5","3","1.4","12","5.7","6","2.9","5","2.4","27.5","(X)","140","67.0","67","32.1","73","34.9","131","62.7","23","11.0","23","11.0","9","4.3","14","6.7","209","100.0","209","100.0","68","32.5","28","13.4","76","36.4","54","25.8","24","11.5","15","7.2","13","6.2","5","2.4","0","0.0","0","0.0","0","0.0","68","100.0","55","80.9","30","44.1","28","41.2","17","25.0","24","35.3","12","17.6","13","19.1","9","13.2","4","5.9","38","55.9","15","22.1","3.07","(X)","3.33","(X)","68","100.0","25","36.8","43","63.2","3.04","(X)","3.09","(X)",
"1400000US17031284000","Census Tract 2840, Cook County, Illinois","001","Total population","396","100.0","195","49.2","201","50.8","34","8.6","42","10.6","33","8.3","31","7.8","35","8.8","43","10.9","54","13.6","70","17.7","14","3.5","8","2.0","13","3.3","11","2.8","8","2.0","30.2","(X)","267","67.4","122","30.8","145","36.6","250","63.1","38","9.6","32","8.1","8","2.0","24","6.1","396","100.0","396","100.0","124","31.3","28","7.1","134","33.8","86","21.7","82","20.7","42","10.6","28","7.1","6","1.5","0","0.0","0","0.0","0","0.0","124","100.0","83","66.9","41","33.1","28","22.6","13","10.5","42","33.9","25","20.2","41","33.1","32","25.8","11","8.9","56","45.2","29","23.4","3.19","(X)","3.94","(X)","124","100.0","39","31.5","85","68.5","3.67","(X)","2.98","(X)",
"1400000US17031291800","Census Tract 2918, Cook County, Illinois","001","Total population","496","100.0","217","43.8","279","56.3","46","9.3","53","10.7","49","9.9","61","12.3","40","8.1","67","13.5","77","15.5","44","8.9","9","1.8","16","3.2","13","2.6","17","3.4","4","0.8","24.8","(X)","312","62.9","112","22.6","200","40.3","279","56.3","43","8.7","34","6.9","9","1.8","25","5.0","496","100.0","496","100.0","139","28.0","29","5.8","208","41.9","134","27.0","94","19.0","45","9.1","26","5.2","11","2.2","0","0.0","0","0.0","0","0.0","139","100.0","109","78.4","60","43.2","29","20.9","15","10.8","65","46.8","39","28.1","30","21.6","23","16.5","11","7.9","72","51.8","27","19.4","3.57","(X)","4.04","(X)","139","100.0","29","20.9","110","79.1","3.72","(X)","3.53","(X)",
"1400000US17031311200","Census Tract 3112, Cook County, Illinois","001","Total population","273","100.0","153","56.0","120","44.0","28","10.3","22","8.1","21","7.7","21","7.7","21","7.7","66","24.2","40","14.7","26","9.5","4","1.5","6","2.2","14","5.1","3","1.1","1","0.4","27.4","(X)","189","69.2","110","40.3","79","28.9","173","63.4","22","8.1","18","6.6","4","1.5","14","5.1","273","100.0","273","100.0","109","39.9","29","10.6","96","35.2","74","27.1","20","7.3","8","2.9","19","7.0","7","2.6","0","0.0","0","0.0","0","0.0","109","100.0","51","46.8","32","29.4","29","26.6","19","17.4","19","17.4","11","10.1","58","53.2","49","45.0","7","6.4","36","33.0","15","13.8","2.50","(X)","3.84","(X)","109","100.0","18","16.5","91","83.5","4.00","(X)","2.21","(X)",
"1400000US17031320300","Census Tract 3203, Cook County, Illinois","001","Total population","321","100.0","163","50.8","158","49.2","10","3.1","3","0.9","3","0.9","67","20.9","106","33.0","43","13.4","28","8.7","26","8.1","22","6.9","4","1.2","8","2.5","1","0.3","0","0.0","22.3","(X)","300","93.5","153","47.7","147","45.8","204","63.6","13","4.0","9","2.8","6","1.9","3","0.9","321","100.0","146","45.5","80","24.9","30","9.3","23","7.2","15","4.7","8","2.5","4","1.2","5","1.6","4","1.2","175","54.5","0","0.0","175","54.5","80","100.0","34","42.5","10","12.5","30","37.5","8","10.0","3","3.8","2","2.5","46","57.5","43","53.8","0","0.0","12","15.0","7","8.8","1.83","(X)","2.79","(X)","80","100.0","38","47.5","42","52.5","1.92","(X)","1.74","(X)",
"1400000US17031381300","Census Tract 3813, Cook County, Illinois","001","Total population","133","100.0","67","50.4","66","49.6","11","8.3","11","8.3","16","12.0","22","16.5","9","6.8","7","5.3","28","21.1","12","9.0","6","4.5","1","0.8","5","3.8","3","2.3","2","1.5","24.2","(X)","79","59.4","37","27.8","42","31.6","72","54.1","10","7.5","10","7.5","4","3.0","6","4.5","133","100.0","133","100.0","31","23.3","12","9.0","51","38.3","26","19.5","37","27.8","27","20.3","2","1.5","1","0.8","0","0.0","0","0.0","0","0.0","31","100.0","27","87.1","10","32.3","12","38.7","5","16.1","13","41.9","5","16.1","4","12.9","3","9.7","1","3.2","19","61.3","8","25.8","4.29","(X)","4.70","(X)","31","100.0","2","6.5","29","93.5","3.00","(X)","4.38","(X)",
"1400000US17031381600","Census Tract 3816, Cook County, Illinois","001","Total population","471","100.0","203","43.1","268","56.9","72","15.3","80","17.0","48","10.2","58","12.3","39","8.3","68","14.4","50","10.6","28","5.9","5","1.1","12","2.5","9","1.9","2","0.4","0","0.0","17.8","(X)","233","49.5","83","17.6","150","31.8","204","43.3","20","4.2","11","2.3","3","0.6","8","1.7","471","100.0","471","100.0","125","26.5","9","1.9","249","52.9","181","38.4","75","15.9","52","11.0","13","2.8","8","1.7","0","0.0","0","0.0","0","0.0","125","100.0","98","78.4","68","54.4","9","7.2","4","3.2","84","67.2","60","48.0","27","21.6","26","20.8","2","1.6","83","66.4","10","8.0","3.77","(X)","4.40","(X)","125","100.0","0","0.0","125","100.0","0.00","(X)","3.77","(X)",
"1400000US17031590100","Census Tract 5901, Cook County, Illinois","001","Total population","225","100.0","106","47.1","119","52.9","15","6.7","20","8.9","13","5.8","9","4.0","23","10.2","37","16.4","28","12.4","30","13.3","6","2.7","18","8.0","20","8.9","5","2.2","1","0.4","33.8","(X)","170","75.6","75","33.3","95","42.2","160","71.1","37","16.4","26","11.6","12","5.3","14","6.2","225","100.0","225","100.0","78","34.7","34","15.1","74","32.9","49","21.8","28","12.4","6","2.7","11","4.9","5","2.2","0","0.0","0","0.0","0","0.0","78","100.0","49","62.8","26","33.3","34","43.6","20","25.6","12","15.4","4","5.1","29","37.2","21","26.9","6","7.7","29","37.2","20","25.6","2.88","(X)","3.78","(X)","78","100.0","39","50.0","39","50.0","3.44","(X)","2.33","(X)",
"1400000US17031600100","Census Tract 6001, Cook County, Illinois","001","Total population","423","100.0","205","48.5","218","51.5","40","9.5","31","7.3","25","5.9","30","7.1","41","9.7","68","16.1","63","14.9","60","14.2","11","2.6","19","4.5","21","5.0","11","2.6","3","0.7","31.3","(X)","305","72.1","154","36.4","151","35.7","290","68.6","43","10.2","35","8.3","16","3.8","19","4.5","423","100.0","421","99.5","132","31.2","76","18.0","146","34.5","94","22.2","53","12.5","24","5.7","14","3.3","6","1.4","2","0.5","0","0.0","2","0.5","132","100.0","102","77.3","54","40.9","76","57.6","42","31.8","21","15.9","10","7.6","30","22.7","25","18.9","8","6.1","61","46.2","30","22.7","3.19","(X)","3.70","(X)","132","100.0","50","37.9","82","62.1","3.48","(X)","3.01","(X)",
"1400000US17031690200","Census Tract 6902, Cook County, Illinois","001","Total population","306","100.0","128","41.8","178","58.2","37","12.1","36","11.8","30","9.8","33","10.8","19","6.2","23","7.5","42","13.7","35","11.4","7","2.3","9","2.9","18","5.9","14","4.6","3","1.0","23.8","(X)","187","61.1","76","24.8","111","36.3","166","54.2","41","13.4","35","11.4","10","3.3","25","8.2","306","100.0","306","100.0","95","31.0","20","6.5","106","34.6","69","22.5","62","20.3","42","13.7","23","7.5","6","2.0","0","0.0","0","0.0","0","0.0","95","100.0","59","62.1","29","30.5","20","21.1","10","10.5","34","35.8","17","17.9","36","37.9","29","30.5","9","9.5","49","51.6","29","30.5","3.22","(X)","4.19","(X)","95","100.0","28","29.5","67","70.5","2.96","(X)","3.33","(X)",
